Date,Open,High,Low,Close,Adj Close,Volume
"Aug 12, 2024",6.62,6.67,6.47,6.48,6.48,"26,316,800"
"Aug 9, 2024",6.62,6.73,6.55,6.64,6.64,"19,048,600"
"Aug 8, 2024",6.46,6.71,6.41,6.64,6.64,"27,594,800"
"Aug 7, 2024",6.60,6.75,6.31,6.32,6.32,"32,106,700"
"Aug 6, 2024",6.62,6.62,6.39,6.43,6.43,"41,670,300"
"Aug 5, 2024",6.03,6.79,6.01,6.54,6.54,"65,657,400"
"Aug 2, 2024",6.90,6.95,6.59,6.65,6.65,"63,300,900"
"Aug 1, 2024",7.57,7.66,7.07,7.16,7.16,"50,282,600"
"Jul 31, 2024",7.48,7.83,7.26,7.54,7.54,"66,168,200"
"Jul 30, 2024",7.58,7.95,7.10,7.42,7.42,"90,519,300"
"Jul 29, 2024",7.46,7.52,7.23,7.33,7.33,"65,272,600"
"Jul 26, 2024",7.48,7.50,7.29,7.41,7.41,"29,482,400"
"Jul 25, 2024",7.00,7.41,7.00,7.27,7.27,"35,574,200"
"Jul 24, 2024",7.33,7.50,7.09,7.10,7.10,"34,636,100"
"Jul 23, 2024",7.50,7.66,7.42,7.43,7.43,"23,486,300"
"Jul 22, 2024",7.59,7.64,7.33,7.54,7.54,"38,964,600"
"Jul 19, 2024",7.50,7.61,7.31,7.47,7.47,"33,123,300"
"Jul 18, 2024",7.87,8.06,7.49,7.53,7.53,"56,454,300"
"Jul 17, 2024",7.57,7.91,7.57,7.84,7.84,"65,800,500"
"Jul 16, 2024",7.44,7.82,7.34,7.75,7.75,"63,079,500"
"Jul 15, 2024",7.06,7.43,7.01,7.33,7.33,"57,035,700"
"Jul 12, 2024",6.89,7.00,6.81,6.97,6.97,"37,128,300"
"Jul 11, 2024",6.80,6.93,6.68,6.77,6.77,"46,656,300"
"Jul 10, 2024",6.42,6.62,6.32,6.57,6.57,"37,482,300"
"Jul 9, 2024",6.35,6.38,6.15,6.38,6.38,"40,392,200"
"Jul 8, 2024",6.49,6.53,6.35,6.35,6.35,"22,763,700"
"Jul 5, 2024",6.48,6.51,6.38,6.47,6.47,"15,639,700"
"Jul 3, 2024",6.48,6.55,6.41,6.52,6.52,"15,364,300"
"Jul 2, 2024",6.43,6.48,6.29,6.45,6.45,"26,977,400"
"Jul 1, 2024",6.60,6.67,6.41,6.43,6.43,"30,828,100"
"Jun 28, 2024",6.60,6.65,6.53,6.61,6.61,"30,002,000"
"Jun 27, 2024",6.41,6.54,6.36,6.54,6.54,"18,808,000"
"Jun 26, 2024",6.40,6.48,6.36,6.46,6.46,"18,400,200"
"Jun 25, 2024",6.54,6.54,6.41,6.45,6.45,"19,627,200"
"Jun 24, 2024",6.32,6.57,6.30,6.54,6.54,"32,286,900"
"Jun 21, 2024",6.30,6.35,6.20,6.32,6.32,"34,537,200"
"Jun 20, 2024",6.42,6.45,6.26,6.32,6.32,"31,396,900"
"Jun 18, 2024",6.46,6.60,6.39,6.42,6.42,"28,420,200"
"Jun 17, 2024",6.46,6.49,6.30,6.46,6.46,"45,193,300"
"Jun 14, 2024",6.71,6.76,6.43,6.46,6.46,"75,531,400"
"Jun 13, 2024",7.10,7.13,6.77,6.80,6.80,"51,888,300"
"Jun 12, 2024",7.17,7.43,7.05,7.07,7.07,"57,027,300"
"Jun 11, 2024",7.00,7.04,6.90,7.00,7.00,"20,066,600"
"Jun 10, 2024",6.90,7.07,6.88,7.03,7.03,"20,848,000"
"Jun 7, 2024",6.92,7.05,6.86,6.99,6.99,"26,082,300"
"Jun 6, 2024",6.90,7.09,6.84,7.08,7.08,"26,131,000"
"Jun 5, 2024",6.77,6.94,6.72,6.91,6.91,"32,061,500"
"Jun 4, 2024",6.75,6.86,6.71,6.72,6.72,"27,546,400"
"Jun 3, 2024",6.97,6.99,6.75,6.77,6.77,"31,596,700"
"May 31, 2024",6.95,6.99,6.76,6.90,6.90,"28,216,900"
"May 30, 2024",6.84,6.93,6.81,6.91,6.91,"21,911,400"
"May 29, 2024",6.78,6.85,6.68,6.85,6.85,"26,240,400"
"May 28, 2024",6.99,7.05,6.87,6.89,6.89,"31,435,900"
"May 24, 2024",6.87,7.00,6.87,6.92,6.92,"21,484,400"
"May 23, 2024",7.04,7.07,6.77,6.83,6.83,"53,003,900"
"May 22, 2024",7.06,7.14,6.97,7.02,7.02,"28,018,400"
"May 21, 2024",7.15,7.20,7.05,7.08,7.08,"24,500,700"
"May 20, 2024",7.25,7.29,7.17,7.19,7.19,"20,605,800"
"May 17, 2024",7.15,7.42,7.12,7.28,7.28,"36,606,000"
"May 16, 2024",7.23,7.30,7.11,7.12,7.12,"28,905,000"
"May 15, 2024",7.63,7.63,7.21,7.27,7.27,"35,185,400"
"May 14, 2024",7.21,7.64,7.20,7.47,7.47,"74,991,900"
"May 13, 2024",7.03,7.32,7.00,7.11,7.11,"55,264,000"
"May 10, 2024",7.05,7.09,6.92,6.94,6.94,"29,080,800"
"May 9, 2024",7.08,7.13,6.99,7.06,7.06,"22,463,500"
"May 8, 2024",6.98,7.09,6.93,7.05,7.05,"29,637,600"
"May 7, 2024",7.12,7.19,7.03,7.06,7.06,"31,025,600"
"May 6, 2024",7.05,7.27,7.03,7.16,7.16,"50,016,600"
"May 3, 2024",7.13,7.24,6.88,6.96,6.96,"56,618,000"
"May 2, 2024",7.03,7.11,6.86,6.99,6.99,"45,473,400"
"May 1, 2024",6.70,7.18,6.65,6.92,6.92,"68,347,700"
"Apr 30, 2024",6.88,6.89,6.61,6.78,6.78,"78,411,600"
"Apr 29, 2024",7.37,7.45,7.00,7.05,7.05,"149,660,200"
"Apr 26, 2024",7.70,7.90,7.58,7.87,7.87,"88,631,000"
"Apr 25, 2024",7.42,7.60,7.26,7.59,7.59,"47,658,800"
"Apr 24, 2024",7.61,7.68,7.46,7.60,7.60,"39,726,800"
"Apr 23, 2024",7.24,7.59,7.22,7.58,7.58,"40,321,500"
"Apr 22, 2024",7.17,7.29,7.11,7.25,7.25,"31,327,400"
"Apr 19, 2024",7.08,7.28,7.05,7.11,7.11,"36,530,500"
"Apr 18, 2024",7.16,7.38,7.07,7.13,7.13,"34,419,100"
"Apr 17, 2024",7.23,7.34,7.12,7.16,7.16,"29,625,600"
"Apr 16, 2024",7.05,7.28,6.97,7.20,7.20,"34,200,500"
"Apr 15, 2024",7.33,7.42,7.08,7.12,7.12,"33,759,400"
"Apr 12, 2024",7.56,7.60,7.30,7.33,7.33,"36,044,300"
"Apr 11, 2024",7.57,7.64,7.43,7.64,7.64,"28,651,700"
"Apr 10, 2024",7.65,7.80,7.48,7.56,7.56,"53,826,100"
"Apr 9, 2024",7.82,7.94,7.73,7.89,7.89,"46,554,000"
"Apr 8, 2024",7.51,7.77,7.50,7.76,7.76,"56,858,200"
"Apr 5, 2024",7.30,7.46,7.25,7.40,7.40,"29,121,300"
"Apr 4, 2024",7.65,7.71,7.27,7.31,7.31,"49,594,100"
"Apr 3, 2024",7.31,7.58,7.23,7.54,7.54,"50,638,600"
"Apr 2, 2024",7.05,7.22,6.97,7.20,7.20,"29,678,800"
"Apr 1, 2024",7.31,7.34,7.12,7.22,7.22,"31,681,900"
"Mar 28, 2024",7.33,7.47,7.29,7.30,7.30,"30,108,100"
"Mar 27, 2024",7.28,7.37,7.17,7.36,7.36,"34,738,800"
"Mar 26, 2024",7.35,7.46,7.16,7.20,7.20,"39,576,600"
"Mar 25, 2024",7.28,7.60,7.25,7.45,7.45,"27,430,900"
"Mar 22, 2024",7.32,7.41,7.24,7.30,7.30,"23,188,400"
"Mar 21, 2024",7.55,7.57,7.36,7.44,7.44,"56,091,900"
"Mar 20, 2024",6.93,7.37,6.87,7.36,7.36,"61,455,100"
"Mar 19, 2024",6.92,7.03,6.82,6.92,6.92,"50,479,000"
"Mar 18, 2024",7.07,7.11,6.86,7.08,7.08,"47,168,400"
"Mar 15, 2024",7.03,7.05,6.91,7.03,7.03,"52,674,400"
"Mar 14, 2024",7.33,7.35,6.99,7.05,7.05,"69,575,100"
"Mar 13, 2024",7.43,7.56,7.36,7.38,7.38,"42,118,300"
"Mar 12, 2024",7.68,7.69,7.38,7.48,7.48,"49,576,500"
"Mar 11, 2024",7.80,7.95,7.61,7.68,7.68,"59,023,000"
"Mar 8, 2024",7.52,7.83,7.47,7.71,7.71,"76,490,500"
"Mar 7, 2024",7.50,7.58,7.18,7.47,7.47,"83,118,900"
"Mar 6, 2024",7.37,7.62,7.05,7.40,7.40,"131,025,300"
"Mar 5, 2024",8.07,8.20,7.26,7.27,7.27,"187,827,900"
"Mar 4, 2024",9.05,9.13,8.57,8.58,8.58,"35,426,400"
"Mar 1, 2024",8.99,9.04,8.77,8.99,8.99,"26,200,600"
"Feb 29, 2024",9.07,9.14,8.82,8.98,8.98,"29,742,200"
"Feb 28, 2024",9.04,9.18,8.83,8.86,8.86,"42,120,700"
"Feb 27, 2024",8.75,9.17,8.70,9.15,9.15,"66,939,300"
"Feb 26, 2024",8.19,8.69,8.16,8.54,8.54,"46,576,100"
"Feb 23, 2024",8.17,8.37,8.11,8.17,8.17,"27,447,600"
"Feb 22, 2024",8.24,8.35,8.14,8.16,8.16,"30,401,200"
"Feb 21, 2024",8.34,8.35,8.10,8.11,8.11,"39,260,200"
"Feb 20, 2024",8.29,8.52,8.21,8.51,8.51,"39,814,900"
"Feb 16, 2024",8.44,8.58,8.27,8.36,8.36,"50,285,500"
"Feb 15, 2024",8.50,8.55,8.34,8.53,8.53,"40,691,500"
"Feb 14, 2024",8.15,8.43,8.10,8.42,8.42,"44,248,000"
"Feb 13, 2024",7.84,8.20,7.78,8.02,8.02,"62,894,400"
"Feb 12, 2024",8.12,8.50,8.10,8.33,8.33,"44,804,100"
"Feb 9, 2024",8.19,8.35,8.08,8.13,8.13,"40,417,500"
"Feb 8, 2024",7.70,8.14,7.66,8.08,8.08,"49,560,500"
"Feb 7, 2024",7.82,7.83,7.57,7.66,7.66,"37,544,900"
"Feb 6, 2024",7.59,7.88,7.53,7.80,7.80,"44,063,700"
"Feb 5, 2024",7.70,7.76,7.45,7.58,7.58,"42,003,000"
"Feb 2, 2024",7.58,7.95,7.47,7.88,7.88,"53,205,100"
"Feb 1, 2024",7.93,7.96,7.57,7.73,7.73,"76,525,400"
"Jan 31, 2024",8.09,8.34,7.81,7.83,7.83,"110,241,400"
"Jan 30, 2024",9.03,9.40,8.38,8.40,8.40,"119,356,000"
"Jan 29, 2024",8.82,9.45,8.62,9.16,9.16,"286,380,900"
"Jan 26, 2024",7.69,7.83,7.52,7.62,7.62,"72,566,000"
"Jan 25, 2024",7.66,7.75,7.55,7.65,7.65,"49,509,400"
"Jan 24, 2024",7.89,7.94,7.53,7.56,7.56,"41,431,000"
"Jan 23, 2024",8.10,8.14,7.73,7.75,7.75,"45,600,700"
"Jan 22, 2024",7.83,8.33,7.72,7.92,7.92,"69,046,700"
"Jan 19, 2024",7.45,7.50,7.21,7.49,7.49,"39,811,300"
"Jan 18, 2024",7.62,7.63,7.23,7.41,7.41,"47,079,900"
"Jan 17, 2024",7.53,7.58,7.37,7.53,7.53,"41,129,900"
"Jan 16, 2024",7.77,7.85,7.61,7.72,7.72,"38,223,300"
"Jan 12, 2024",8.17,8.30,7.81,7.89,7.89,"49,156,500"
"Jan 11, 2024",8.41,8.43,8.06,8.17,8.17,"46,166,600"
"Jan 10, 2024",8.33,8.60,8.14,8.48,8.48,"39,487,200"
"Jan 9, 2024",8.40,8.52,8.28,8.32,8.32,"26,168,200"
"Jan 8, 2024",8.25,8.62,8.23,8.53,8.53,"32,042,200"
"Jan 5, 2024",8.27,8.50,8.16,8.22,8.22,"39,621,600"
"Jan 4, 2024",8.35,8.59,8.17,8.42,8.42,"37,398,900"
"Jan 3, 2024",8.91,9.03,8.28,8.31,8.31,"82,970,700"
"Jan 2, 2024",9.71,9.81,9.52,9.65,9.65,"38,035,000"
"Dec 29, 2023",10.25,10.30,9.81,9.95,9.95,"38,152,600"
"Dec 28, 2023",10.28,10.39,10.19,10.28,10.28,"26,416,400"
"Dec 27, 2023",10.01,10.49,10.00,10.32,10.32,"44,253,700"
"Dec 26, 2023",9.83,9.99,9.74,9.96,9.96,"26,013,700"
"Dec 22, 2023",9.77,9.88,9.59,9.71,9.71,"29,080,400"
"Dec 21, 2023",9.53,9.67,9.39,9.64,9.64,"41,803,000"
"Dec 20, 2023",9.91,10.16,9.23,9.31,9.31,"75,814,700"
"Dec 19, 2023",9.78,9.99,9.66,9.94,9.94,"51,836,700"
"Dec 18, 2023",9.30,9.79,9.21,9.66,9.66,"48,816,300"
"Dec 15, 2023",9.53,9.57,9.14,9.35,9.35,"52,489,000"
"Dec 14, 2023",9.11,9.84,9.09,9.47,9.47,"92,753,900"
"Dec 13, 2023",7.98,8.96,7.84,8.94,8.94,"75,424,700"
"Dec 12, 2023",8.07,8.10,7.82,7.95,7.95,"26,087,100"
"Dec 11, 2023",8.12,8.27,8.00,8.07,8.07,"24,365,600"
"Dec 8, 2023",7.95,8.22,7.88,8.13,8.13,"34,463,500"
"Dec 7, 2023",7.98,8.14,7.88,7.96,7.96,"30,489,200"
"Dec 6, 2023",8.14,8.45,7.86,7.89,7.89,"51,458,700"
"Dec 5, 2023",7.89,8.03,7.75,7.99,7.99,"30,468,400"
"Dec 4, 2023",7.71,8.25,7.65,7.96,7.96,"45,245,600"
"Dec 1, 2023",7.26,7.93,7.17,7.83,7.83,"68,780,300"
"Nov 30, 2023",7.39,7.40,7.10,7.29,7.29,"41,877,900"
"Nov 29, 2023",7.44,7.73,7.31,7.35,7.35,"45,648,300"
"Nov 28, 2023",7.04,7.35,7.00,7.34,7.34,"36,138,300"
"Nov 27, 2023",6.87,7.20,6.86,7.03,7.03,"40,258,600"
"Nov 24, 2023",6.90,6.95,6.79,6.86,6.86,"13,457,600"
"Nov 22, 2023",6.80,7.03,6.71,6.90,6.90,"36,549,600"
"Nov 21, 2023",6.54,6.72,6.41,6.72,6.72,"46,170,200"
"Nov 20, 2023",6.77,6.78,6.56,6.61,6.61,"44,558,700"
"Nov 17, 2023",6.80,6.88,6.65,6.83,6.83,"30,785,400"
"Nov 16, 2023",7.28,7.29,6.63,6.71,6.71,"73,603,100"
"Nov 15, 2023",7.39,7.50,7.22,7.37,7.37,"40,095,900"
"Nov 14, 2023",7.39,7.53,7.22,7.48,7.48,"38,408,700"
"Nov 13, 2023",6.85,7.11,6.72,7.04,7.04,"33,982,500"
"Nov 10, 2023",6.92,6.95,6.74,6.94,6.94,"29,494,800"
"Nov 9, 2023",7.16,7.17,6.57,6.85,6.85,"86,607,400"
"Nov 8, 2023",7.38,7.39,7.12,7.31,7.31,"28,150,800"
"Nov 7, 2023",7.50,7.60,7.33,7.42,7.42,"34,068,100"
"Nov 6, 2023",8.05,8.06,7.37,7.49,7.49,"46,262,100"
"Nov 3, 2023",8.28,8.48,8.00,8.01,8.01,"41,472,500"
"Nov 2, 2023",7.90,8.20,7.88,8.17,8.17,"45,933,900"
"Nov 1, 2023",7.64,7.75,7.35,7.58,7.58,"42,359,700"
"Oct 31, 2023",7.04,7.57,7.03,7.55,7.55,"63,310,400"
"Oct 30, 2023",7.60,7.88,6.68,6.94,6.94,"125,927,200"
"Oct 27, 2023",7.07,7.08,6.85,6.87,6.87,"45,332,100"
"Oct 26, 2023",7.04,7.17,6.80,6.90,6.90,"47,046,900"
"Oct 25, 2023",7.24,7.27,7.02,7.08,7.08,"31,058,500"
"Oct 24, 2023",7.40,7.57,7.26,7.38,7.38,"23,335,900"
"Oct 23, 2023",7.28,7.50,6.97,7.26,7.26,"29,748,000"
"Oct 20, 2023",7.55,7.68,7.32,7.37,7.37,"27,223,700"
"Oct 19, 2023",7.75,7.98,7.59,7.63,7.63,"26,767,700"
"Oct 18, 2023",8.19,8.26,7.69,7.77,7.77,"26,281,300"
"Oct 17, 2023",8.10,8.36,8.08,8.25,8.25,"18,473,600"
"Oct 16, 2023",8.24,8.35,8.08,8.25,8.25,"16,675,200"
"Oct 13, 2023",8.44,8.48,8.06,8.12,8.12,"21,977,600"
"Oct 12, 2023",8.64,8.66,8.28,8.39,8.39,"22,155,400"
"Oct 11, 2023",8.45,8.73,8.45,8.59,8.59,"22,512,700"
"Oct 10, 2023",8.25,8.53,8.21,8.36,8.36,"20,874,200"
"Oct 9, 2023",7.78,8.20,7.77,8.18,8.18,"17,191,900"
"Oct 6, 2023",7.51,8.03,7.50,7.99,7.99,"23,311,700"
"Oct 5, 2023",7.42,7.71,7.30,7.65,7.65,"17,072,900"
"Oct 4, 2023",7.41,7.49,7.14,7.47,7.47,"23,978,900"
"Oct 3, 2023",7.71,7.75,7.18,7.28,7.28,"36,674,900"
"Oct 2, 2023",8.08,8.16,7.80,7.84,7.84,"20,000,300"
"Sep 29, 2023",7.92,8.30,7.91,7.99,7.99,"28,742,000"
"Sep 28, 2023",7.60,7.84,7.53,7.77,7.77,"23,539,600"
"Sep 27, 2023",7.48,7.66,7.39,7.60,7.60,"28,227,000"
"Sep 26, 2023",7.40,7.59,7.37,7.40,7.40,"22,544,900"
"Sep 25, 2023",7.46,7.66,7.40,7.51,7.51,"23,107,800"
"Sep 22, 2023",8.03,8.05,7.44,7.54,7.54,"38,736,100"
"Sep 21, 2023",8.11,8.15,7.91,7.95,7.95,"29,426,500"
"Sep 20, 2023",8.67,8.79,8.31,8.32,8.32,"21,643,900"
"Sep 19, 2023",8.65,8.87,8.54,8.62,8.62,"18,091,600"
"Sep 18, 2023",9.05,9.07,8.63,8.67,8.67,"22,678,700"
"Sep 15, 2023",9.00,9.14,8.88,9.07,9.07,"30,416,800"
"Sep 14, 2023",8.89,9.18,8.86,9.05,9.05,"23,642,000"
"Sep 13, 2023",9.00,9.09,8.77,8.80,8.80,"16,819,200"
"Sep 12, 2023",8.79,9.19,8.79,9.00,9.00,"25,495,600"
"Sep 11, 2023",8.65,8.92,8.64,8.90,8.90,"19,320,600"
"Sep 8, 2023",8.54,8.67,8.45,8.55,8.55,"15,045,300"
"Sep 7, 2023",8.35,8.58,8.22,8.57,8.57,"19,320,700"
"Sep 6, 2023",8.73,8.81,8.43,8.54,8.54,"23,909,700"
"Sep 5, 2023",8.75,8.88,8.62,8.75,8.75,"18,906,300"
"Sep 1, 2023",8.77,8.93,8.72,8.79,8.79,"17,694,500"
"Aug 31, 2023",8.78,8.87,8.52,8.66,8.66,"26,175,600"
"Aug 30, 2023",8.46,8.78,8.36,8.74,8.74,"26,123,600"
"Aug 29, 2023",8.18,8.58,8.16,8.46,8.46,"24,487,400"
"Aug 28, 2023",8.38,8.42,8.17,8.23,8.23,"17,488,700"
"Aug 25, 2023",8.12,8.43,8.06,8.29,8.29,"24,163,700"
"Aug 24, 2023",8.48,8.50,8.08,8.12,8.12,"26,080,600"
"Aug 23, 2023",8.08,8.47,8.06,8.43,8.43,"21,855,700"
"Aug 22, 2023",8.40,8.47,8.11,8.15,8.15,"23,164,700"
"Aug 21, 2023",8.25,8.33,8.08,8.29,8.29,"22,676,600"
"Aug 18, 2023",7.92,8.29,7.89,8.22,8.22,"27,173,100"
"Aug 17, 2023",8.35,8.41,8.08,8.11,8.11,"29,582,400"
"Aug 16, 2023",8.23,8.43,8.21,8.26,8.26,"23,398,900"
"Aug 15, 2023",8.60,8.60,8.34,8.37,8.37,"23,709,300"
"Aug 14, 2023",8.52,8.71,8.36,8.68,8.68,"27,735,500"
"Aug 11, 2023",8.53,8.70,8.42,8.65,8.65,"26,833,600"
"Aug 10, 2023",9.09,9.24,8.72,8.72,8.72,"37,657,800"
"Aug 9, 2023",9.27,9.27,8.80,8.99,8.99,"43,368,300"
"Aug 8, 2023",9.03,9.45,9.01,9.31,9.31,"28,127,800"
"Aug 7, 2023",9.50,9.57,9.16,9.39,9.39,"31,682,000"
"Aug 4, 2023",10.08,10.10,9.47,9.50,9.50,"42,370,200"
"Aug 3, 2023",9.92,10.17,9.86,10.05,10.05,"37,651,500"
"Aug 2, 2023",10.12,10.28,9.72,10.08,10.08,"62,865,900"
"Aug 1, 2023",11.06,11.10,10.31,10.35,10.35,"88,881,800"
"Jul 31, 2023",10.39,11.70,10.30,11.45,11.45,"210,958,900"
"Jul 28, 2023",9.36,9.60,9.16,9.55,9.55,"58,205,300"
"Jul 27, 2023",9.71,9.73,8.94,9.09,9.09,"45,958,200"
"Jul 26, 2023",9.26,9.54,9.21,9.52,9.52,"34,922,300"
"Jul 25, 2023",9.40,9.78,9.31,9.33,9.33,"38,811,100"
"Jul 24, 2023",9.44,9.56,9.30,9.45,9.45,"26,643,500"
"Jul 21, 2023",9.68,9.70,9.26,9.43,9.43,"34,444,800"
"Jul 20, 2023",9.63,9.99,9.37,9.57,9.57,"41,587,700"
"Jul 19, 2023",9.76,10.13,9.65,9.85,9.85,"50,051,500"
"Jul 18, 2023",9.55,9.74,9.43,9.57,9.57,"33,895,900"
"Jul 17, 2023",9.04,9.81,8.99,9.48,9.48,"48,308,500"
"Jul 14, 2023",9.22,9.45,8.94,9.08,9.08,"38,350,800"
"Jul 13, 2023",8.92,9.24,8.77,9.16,9.16,"43,361,100"
"Jul 12, 2023",9.34,9.39,9.00,9.20,9.20,"41,158,600"
"Jul 11, 2023",8.81,9.20,8.75,9.07,9.07,"52,586,400"
"Jul 10, 2023",8.10,8.72,8.04,8.71,8.71,"38,750,100"
"Jul 7, 2023",8.09,8.30,8.03,8.05,8.05,"22,681,400"
"Jul 6, 2023",8.23,8.26,7.86,8.10,8.10,"38,013,800"
"Jul 5, 2023",8.49,8.68,8.31,8.38,8.38,"26,954,600"
"Jul 3, 2023",8.36,8.64,8.35,8.52,8.52,"26,842,000"
"Jun 30, 2023",8.92,9.41,8.32,8.34,8.34,"98,034,000"
"Jun 29, 2023",9.07,9.28,8.60,8.71,8.71,"42,722,400"
"Jun 28, 2023",8.59,9.09,8.58,8.87,8.87,"36,374,400"
"Jun 27, 2023",8.33,8.72,8.32,8.64,8.64,"39,402,300"
"Jun 26, 2023",8.24,8.66,8.14,8.20,8.20,"33,526,600"
"Jun 23, 2023",7.91,8.29,7.71,8.28,8.28,"62,118,500"
"Jun 22, 2023",8.54,8.69,8.35,8.49,8.49,"30,149,500"
"Jun 21, 2023",8.51,8.77,8.34,8.63,8.63,"37,733,600"
"Jun 20, 2023",8.31,8.64,8.20,8.59,8.59,"49,114,900"
"Jun 16, 2023",8.91,9.18,8.50,8.60,8.60,"107,236,500"
"Jun 15, 2023",9.18,9.58,8.88,9.55,9.55,"97,639,300"
"Jun 14, 2023",9.79,10.23,9.29,9.74,9.74,"128,420,300"
"Jun 13, 2023",9.54,9.61,8.89,9.54,9.54,"108,293,500"
"Jun 12, 2023",8.46,9.30,8.40,9.16,9.16,"117,905,100"
"Jun 9, 2023",8.25,8.81,8.11,8.18,8.18,"84,720,300"
"Jun 8, 2023",7.69,8.20,7.66,8.12,8.12,"66,988,400"
"Jun 7, 2023",7.86,8.00,7.64,7.74,7.74,"60,872,200"
"Jun 6, 2023",7.18,7.76,7.14,7.65,7.65,"56,839,700"
"Jun 5, 2023",7.12,7.60,7.07,7.25,7.25,"69,556,200"
"Jun 2, 2023",7.11,7.11,6.71,7.03,7.03,"63,316,100"
